Timestamp,Open,High,Low,Close
1/12/2023,137.84,139.09,137.63,138.17
1/11/2023,136.51,137.98,136.46,137.96
1/10/2023,136.86,136.93,136.04,136.2
1/9/2023,137.13,137.38,136.4,137.03
1/6/2023,136.08,137.47,135.74,137.43
1/5/2023,136.3,136.48,135.55,135.99
1/4/2023,135.34,136.67,135.08,136.47
1/3/2023,134.19,135.55,133.79,135.08
1/2/2023,132.73,134.54,132.6,134.32
12/30/2022,134.15,134.19,132.72,132.93
12/29/2022,133.5,134.42,133.35,133.99
12/28/2022,133.48,134.11,133.29,133.52
12/27/2022,134.69,134.75,133.25,133.45
12/23/2022,135.38,135.41,134.62,134.95
12/22/2022,135.86,136.2,134.98,135.31
12/21/2022,135.84,136.32,135.6,135.88
12/20/2022,137.2,137.22,135.78,135.91
12/19/2022,137.57,137.76,136.81,137.15
12/16/2022,138.46,138.62,136.96,137.43
12/15/2022,140.06,140.78,138.12,138.65
12/14/2022,140.62,141.06,139.65,140.45
12/13/2022,140.17,141.7,139.77,140.84
12/12/2022,140.41,141.17,139.96,140.48
12/9/2022,141.61,141.94,140.35,140.52
12/8/2022,142.45,142.55,141.51,141.99
12/7/2022,142.01,142.63,141.42,141.89
12/6/2022,141.1,142.27,140.6,141.89
12/5/2022,141.31,141.72,140.71,141.02
12/2/2022,141.9,142.43,140.99,141.14
12/1/2022,141.11,142.02,140.92,141.68
11/30/2022,140.26,140.95,139.75,140.13
11/29/2022,139.62,140.99,139.33,140.63
11/28/2022,140.05,140.67,139.03,139.67
11/25/2022,141.28,141.28,139.59,139.74
11/24/2022,140.45,141.85,140.45,141.39
11/23/2022,139.72,140.55,139.02,140.4
11/22/2022,139.31,139.89,139.14,139.64
11/21/2022,139.39,140.13,138.8,139.67
11/18/2022,139.26,139.75,138.42,139.43
11/17/2022,139.95,140.34,138.98,139.26
11/16/2022,138.96,140.11,137.95,139.63
11/15/2022,137.87,139.17,137.63,138.58
11/14/2022,137.66,138.51,137.51,137.79
11/11/2022,139.57,139.63,137.65,137.77
11/10/2022,137.82,139.97,137.22,139.75
11/9/2022,136.35,137.71,136.17,137.45
11/8/2022,135.39,136.57,135.01,136.34
11/7/2022,136.08,136.41,135.33,135.7
11/4/2022,136.67,137.16,135.63,135.97
11/3/2022,137.25,137.32,135.96,136.46
11/2/2022,138,138.49,137.34,137.89
11/1/2022,137.73,139.2,137.66,138.09
10/31/2022,138.1,138.4,137.37,137.69
10/28/2022,140.11,140.17,137.54,138.58
10/27/2022,138.17,140.08,136.82,139.51
10/26/2022,137.49,138.3,136.94,138.12
10/25/2022,135.71,137.7,135.71,137.46
10/24/2022,134.78,136.07,134.48,135.41
10/21/2022,134.25,134.89,133.27,134.37
10/20/2022,134.85,135.4,134.11,134.95
10/19/2022,136.45,136.53,134.85,135.35
10/18/2022,136.03,136.93,135.18,136.47
10/17/2022,135.62,136.9,135.37,136.13
10/14/2022,136.05,137.77,135.07,135.33
10/13/2022,135.54,136.79,134.4,135.47
10/12/2022,135.05,135.84,134.39,135.09
10/11/2022,135.8,136.02,134.81,135.7
10/10/2022,136.93,137.71,135.08,135.33
10/7/2022,138.15,138.16,136.6,136.92
10/6/2022,139.06,139.38,137.89,138.21
10/5/2022,140.75,140.99,138.77,139.01
10/4/2022,140.49,142.12,140.06,140.87
10/3/2022,137.54,140.64,137.3,140.43
9/30/2022,136.41,138.49,136.23,137.74
9/29/2022,137.58,137.74,135.47,136.75
9/28/2022,136.25,137.99,134.77,137.16
9/27/2022,136.95,138.54,135.87,136.39
9/26/2022,138.45,138.47,136.66,138.12
9/23/2022,139.39,140.24,137.7,138.73
9/22/2022,140.41,141.27,139.15,139.27
9/21/2022,140.11,141.23,139.98,140.45
9/20/2022,141.65,141.83,139.78,139.95
9/19/2022,142.44,142.51,141.43,141.87
9/16/2022,142.23,142.49,141.4,141.98
9/15/2022,142.83,142.88,141.99,142.47
9/14/2022,142.51,143.12,141.9,142.88
9/13/2022,143.42,143.72,142.25,142.64
9/12/2022,142.77,143.81,142.16,143.75
9/9/2022,142.39,143.73,141.71,142.82
9/8/2022,144.62,145.07,142.28,142.78
9/7/2022,143.81,144.78,143.52,144.41
9/6/2022,144.65,145.9,143.56,144.15
9/5/2022,145.95,146.13,144.25,144.61
9/2/2022,144.65,145.98,144.02,145.21
9/1/2022,144.37,144.71,143.66,144.27
8/31/2022,145.36,145.87,144.26,144.85
8/30/2022,145.51,146.2,144.74,145.08
8/29/2022,145.83,145.87,144.8,145.49
8/26/2022,148.08,148.12,146.23,146.84
8/25/2022,147.19,148.3,146.9,147.86
8/24/2022,147.57,147.94,146.9,147.14
8/23/2022,148.17,149.28,147.11,147.87
8/22/2022,149.04,149.72,147.91,148.24
8/19/2022,150.54,150.54,148.91,149.05
8/18/2022,151.08,151.35,150.12,151.04
8/17/2022,152.69,152.84,150.71,151
8/16/2022,153.57,153.66,152.19,152.41
8/15/2022,152.53,153.76,151.96,153.58
8/12/2022,152.24,152.8,151.76,152.22
8/11/2022,153.41,154.33,152.16,152.39
8/10/2022,153.25,154.62,152.92,153.74
8/9/2022,153.85,153.93,152.65,153.06
8/8/2022,152.85,154,152.74,153.59
8/5/2022,154.95,155.09,152.6,152.82
8/4/2022,154.27,155.16,153.54,154.78
8/3/2022,154.36,155.21,153.17,153.84
8/2/2022,155.45,156.58,153.98,154.98
8/1/2022,154.23,155.42,153.62,155.3
7/29/2022,154.36,154.81,153.09,154.52
7/28/2022,152.63,154.85,151.63,154.78
7/27/2022,152.68,153.12,152.24,153.04
7/26/2022,151.7,153.16,151.4,152.89
7/25/2022,151.09,151.74,150.66,151.63
7/22/2022,149.2,152.04,149.01,151.34
7/21/2022,148.76,149.26,146.57,149.06
7/20/2022,147.89,149.25,147.71,148.16
7/19/2022,149.08,149.48,147.5,147.98
7/18/2022,149.83,150.2,148.35,148.8
7/15/2022,149.72,150.68,149.14,149.98
7/14/2022,149.86,149.89,148.09,149.05
7/13/2022,149.58,150.05,148.54,149.5
7/12/2022,148.2,150.36,148.14,149.89
7/11/2022,146.78,148.55,146.63,148.28
7/8/2022,147.34,148.05,146.67,146.95
7/7/2022,148.21,148.53,147.03,147.43
7/6/2022,147.73,149.8,147.44,148.81
7/5/2022,146.12,148.33,145.6,148.12
7/4/2022,147.41,147.6,145.93,145.99
7/1/2022,145.64,148.53,145.12,147.73
6/30/2022,143.85,146.23,143.38,145.66
6/29/2022,142.24,144.25,142.02,143.87
6/28/2022,143.22,143.68,141.6,142.06
6/27/2022,144.64,144.7,142.91,143.37
6/24/2022,144.58,145.88,143.79,144.82
